code,unit,amount,price,stock_hyogo,stock_saitama,stock_other,aprox_delivery_time,company,stock_japan
A0019,G,100.0,17500.0,True,True,False,3 day(s),TCI,in-stock
A0019,G,25.0,6300.0,True,True,True,3 day(s),TCI,in-stock
A0020,ML,25.0,2000.0,True,True,False,3 day(s),TCI,in-stock
A0020,ML,500.0,5000.0,False,False,False,3 day(s),TCI,on-demand
A0021,ML,25.0,2000.0,True,True,False,3 day(s),TCI,in-stock
A0021,ML,500.0,4400.0,True,True,True,3 day(s),TCI,in-stock
A0022,G,25.0,1800.0,True,True,False,3 day(s),TCI,in-stock
A0022,G,500.0,3100.0,True,True,False,3 day(s),TCI,in-stock
A0023,G,25.0,6100.0,True,True,True,3 day(s),TCI,in-stock
A0023,G,500.0,64300.0,True,True,True,3 day(s),TCI,in-stock
A0024,ML,25.0,1800.0,False,True,False,3 day(s),TCI,in-stock
A0024,ML,500.0,2500.0,True,True,True,3 day(s),TCI,in-stock
A0025,ML,25.0,2200.0,True,True,False,3 day(s),TCI,in-stock
A0025,ML,500.0,10900.0,True,True,True,3 day(s),TCI,in-stock
A0026,ML,25.0,1800.0,True,True,False,3 day(s),TCI,in-stock
A0026,ML,500.0,7600.0,True,True,True,3 day(s),TCI,in-stock
A0027,ML,25.0,12600.0,True,True,False,3 day(s),TCI,in-stock
A0028,ML,25.0,2000.0,True,True,False,3 day(s),TCI,in-stock
A0028,ML,500.0,7200.0,True,True,False,3 day(s),TCI,in-stock
A0029,ML,25.0,5500.0,True,True,True,3 day(s),TCI,in-stock
A0029,ML,500.0,37000.0,True,True,False,3 day(s),TCI,in-stock
A0030,ML,250.0,4800.0,False,True,False,3 day(s),TCI,in-stock
A0031,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0031,ML,500.0,4500.0,True,True,True,3 day(s),TCI,in-stock
A0032,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0032,ML,500.0,5300.0,True,True,True,3 day(s),TCI,in-stock
A0033,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0033,ML,500.0,2600.0,True,True,True,3 day(s),TCI,in-stock
A0034,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0034,ML,500.0,2300.0,True,True,True,3 day(s),TCI,in-stock
A0035,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0035,ML,500.0,9300.0,True,True,True,3 day(s),TCI,in-stock
A0036,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0036,ML,500.0,2300.0,True,True,True,3 day(s),TCI,in-stock
A0037,G,25.0,4500.0,True,True,True,3 day(s),TCI,in-stock
A0038,G,25.0,5600.0,True,True,True,3 day(s),TCI,in-stock
A0039,G,25.0,16800.0,True,True,True,3 day(s),TCI,in-stock
A0039,G,5.0,5300.0,False,True,False,3 day(s),TCI,in-stock
A0040,G,100.0,38600.0,True,True,False,3 day(s),TCI,in-stock
A0040,G,25.0,11700.0,True,True,True,3 day(s),TCI,in-stock
A0041,ML,25.0,1900.0,False,True,False,3 day(s),TCI,in-stock
A0041,ML,500.0,15000.0,False,True,False,3 day(s),TCI,in-stock
A0042,ML,25.0,1800.0,True,True,False,3 day(s),TCI,in-stock
A0042,ML,500.0,5300.0,True,True,True,3 day(s),TCI,in-stock
A0043,G,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0044,ML,25.0,1800.0,True,True,False,3 day(s),TCI,in-stock
A0044,ML,500.0,3100.0,True,True,False,3 day(s),TCI,in-stock
A0045,ML,500.0,1900.0,True,True,True,3 day(s),TCI,in-stock
A0046,G,25.0,1800.0,True,True,False,3 day(s),TCI,in-stock
A0046,G,500.0,2500.0,True,True,True,3 day(s),TCI,in-stock
A0050,ML,500.0,10400.0,True,True,True,3 day(s),TCI,in-stock
A0051,G,10.0,7800.0,True,True,True,3 day(s),TCI,in-stock
A0051,G,25.0,15500.0,True,True,False,3 day(s),TCI,in-stock
A0052,G,25.0,4200.0,True,True,False,3 day(s),TCI,in-stock
A0052,G,500.0,33400.0,False,False,False,3 day(s),TCI,on-demand
A0053,G,100.0,5200.0,False,False,False,3 day(s),TCI,on-demand
A0053,G,25.0,1900.0,True,True,False,3 day(s),TCI,in-stock
A0053,G,500.0,12900.0,True,True,True,3 day(s),TCI,in-stock
A0054,ML,500.0,3500.0,True,True,True,3 day(s),TCI,in-stock
A0055,ML,25.0,4700.0,True,True,False,3 day(s),TCI,in-stock
A0055,ML,500.0,37800.0,True,True,True,3 day(s),TCI,in-stock
A0056,G,100.0,10800.0,False,True,False,3 day(s),TCI,in-stock
A0056,G,25.0,3700.0,True,True,True,3 day(s),TCI,in-stock
A0056,G,500.0,41900.0,False,False,False,3 day(s),TCI,on-demand
A0057,ML,25.0,1900.0,True,True,True,3 day(s),TCI,in-stock
A0057,ML,500.0,6400.0,True,True,True,3 day(s),TCI,in-stock
A0058,G,25.0,4400.0,False,False,False,3 day(s),TCI,on-demand
A0058,G,500.0,33000.0,True,True,False,3 day(s),TCI,in-stock
A0059,G,25.0,3300.0,True,True,True,3 day(s),TCI,in-stock
A0060,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0060,ML,500.0,2200.0,False,True,False,3 day(s),TCI,in-stock
A0061,G,25.0,3200.0,True,True,True,3 day(s),TCI,in-stock
A0061,G,500.0,4300.0,True,True,True,3 day(s),TCI,in-stock
A0062,G,250.0,31100.0,True,True,True,3 day(s),TCI,in-stock
A0062,G,25.0,4900.0,True,True,True,3 day(s),TCI,in-stock
A0063,G,25.0,5400.0,True,True,True,3 day(s),TCI,in-stock
A0064,G,100.0,6900.0,True,True,True,3 day(s),TCI,in-stock
A0064,G,25.0,2400.0,True,True,True,3 day(s),TCI,in-stock
A0065,G,25.0,2300.0,True,True,True,3 day(s),TCI,in-stock
A0065,G,500.0,17900.0,True,True,True,3 day(s),TCI,in-stock
A0067,G,25.0,13800.0,True,True,True,3 day(s),TCI,in-stock
A0067,G,5.0,4600.0,False,True,False,3 day(s),TCI,in-stock
A0068,G,1.0,9000.0,False,True,False,3 day(s),TCI,in-stock
A0068,G,5.0,29900.0,True,True,False,3 day(s),TCI,in-stock
A0069,G,5.0,7000.0,True,True,False,3 day(s),TCI,in-stock
A0071,G,1.0,15900.0,True,True,False,3 day(s),TCI,in-stock
A0072,G,10.0,10800.0,False,False,True,3 day(s),TCI,in-stock
A0073,G,25.0,11200.0,True,True,False,3 day(s),TCI,in-stock
A0074,G,25.0,8800.0,True,True,False,3 day(s),TCI,in-stock
A0075,G,25.0,3000.0,True,True,False,3 day(s),TCI,in-stock
A0075,G,500.0,18200.0,True,True,True,3 day(s),TCI,in-stock
A0076,G,25.0,24600.0,True,True,False,3 day(s),TCI,in-stock
A0076,G,5.0,8700.0,False,False,False,3 day(s),TCI,on-demand
A0078,G,25.0,3500.0,True,True,False,3 day(s),TCI,in-stock
A0079,G,25.0,3000.0,True,True,True,3 day(s),TCI,in-stock
A0079,G,500.0,35400.0,True,True,True,3 day(s),TCI,in-stock
A0080,G,25.0,2500.0,True,True,True,3 day(s),TCI,in-stock
A0080,G,500.0,13800.0,True,True,True,3 day(s),TCI,in-stock
A0081,G,25.0,2800.0,True,True,True,3 day(s),TCI,in-stock
A0081,G,500.0,19800.0,True,True,True,3 day(s),TCI,in-stock
A0082,G,100.0,3300.0,True,True,True,3 day(s),TCI,in-stock
A0082,G,500.0,8900.0,True,True,True,3 day(s),TCI,in-stock
A0083,G,25.0,9600.0,False,True,False,3 day(s),TCI,in-stock
A0084,G,25.0,5300.0,True,True,True,3 day(s),TCI,in-stock
A0084,G,500.0,49700.0,True,True,False,3 day(s),TCI,in-stock
A0085,G,25.0,12000.0,True,True,True,3 day(s),TCI,in-stock
A0086,G,25.0,2400.0,True,True,True,3 day(s),TCI,in-stock
A0086,G,500.0,5100.0,True,True,True,3 day(s),TCI,in-stock
A0087,MG,100.0,4100.0,False,True,False,3 day(s),TCI,in-stock
A0088,G,25.0,14100.0,True,True,True,3 day(s),TCI,in-stock
A0088,G,5.0,4500.0,True,True,False,3 day(s),TCI,in-stock
A0089,ML,250.0,69800.0,True,True,True,3 day(s),TCI,in-stock
A0089,ML,25.0,11600.0,True,True,False,3 day(s),TCI,in-stock
A0090,ML,100.0,24300.0,True,True,True,3 day(s),TCI,in-stock
A0090,ML,25.0,8100.0,True,True,True,3 day(s),TCI,in-stock
A0090,ML,500.0,72400.0,True,True,False,3 day(s),TCI,in-stock
A0091,G,25.0,4000.0,False,False,False,3 day(s),TCI,on-demand
A0091,G,500.0,28800.0,False,False,False,3 day(s),TCI,on-demand
A0092,G,100.0,10900.0,True,True,False,3 day(s),TCI,in-stock
A0092,G,25.0,3800.0,True,True,False,3 day(s),TCI,in-stock
A0092,G,500.0,40900.0,True,True,True,3 day(s),TCI,in-stock
A0093,G,100.0,3600.0,True,True,True,3 day(s),TCI,in-stock
A0093,G,25.0,2300.0,True,True,False,3 day(s),TCI,in-stock
A0093,G,500.0,8600.0,True,True,True,3 day(s),TCI,in-stock
A0094,G,1.0,1800.0,False,True,False,3 day(s),TCI,in-stock
A0094,G,25.0,6800.0,True,True,True,3 day(s),TCI,in-stock
A0095,G,10.0,26500.0,False,False,False,3 day(s),TCI,on-demand
A0095,G,25.0,49800.0,True,True,True,3 day(s),TCI,in-stock
A0096,ML,500.0,5700.0,False,False,False,3 day(s),TCI,on-demand
A0097,G,25.0,6800.0,True,True,False,3 day(s),TCI,in-stock
A0097,G,5.0,2100.0,False,True,False,3 day(s),TCI,in-stock
A0098,G,25.0,4400.0,True,True,True,3 day(s),TCI,in-stock
A0098,G,5.0,2100.0,True,True,False,3 day(s),TCI,in-stock
A0100,G,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0100,G,500.0,8900.0,True,True,False,3 day(s),TCI,in-stock
A0101,G,25.0,9800.0,True,True,True,3 day(s),TCI,in-stock
A0102,G,25.0,2700.0,True,True,True,3 day(s),TCI,in-stock
A0102,G,500.0,18500.0,False,True,False,3 day(s),TCI,in-stock
A0103,G,25.0,10800.0,True,True,True,3 day(s),TCI,in-stock
A0103,G,500.0,82800.0,True,True,False,3 day(s),TCI,in-stock
A0104,G,25.0,4400.0,True,True,True,3 day(s),TCI,in-stock
A0104,G,500.0,38600.0,True,True,False,3 day(s),TCI,in-stock
A0105,G,1.0,5800.0,False,True,False,3 day(s),TCI,in-stock
A0105,G,5.0,18500.0,False,False,False,3 day(s),TCI,on-demand
A0106,G,25.0,3000.0,False,False,False,3 day(s),TCI,on-demand
A0106,G,500.0,15000.0,False,True,False,3 day(s),TCI,in-stock
A0107,G,25.0,4500.0,True,True,False,3 day(s),TCI,in-stock
A0108,G,25.0,7500.0,True,True,False,3 day(s),TCI,in-stock
A0109,ML,25.0,28900.0,False,True,False,3 day(s),TCI,in-stock
A0111,ML,250.0,36700.0,False,True,False,3 day(s),TCI,in-stock
A0111,ML,25.0,6400.0,False,True,False,3 day(s),TCI,in-stock
A0112,G,250.0,22700.0,True,True,True,3 day(s),TCI,in-stock
A0112,G,25.0,4500.0,False,False,False,3 day(s),TCI,on-demand
A0113,G,250.0,22600.0,True,True,True,3 day(s),TCI,in-stock
A0113,G,25.0,4500.0,True,True,True,3 day(s),TCI,in-stock
A0114,G,25.0,4000.0,True,True,True,3 day(s),TCI,in-stock
A0114,G,500.0,17800.0,True,True,True,3 day(s),TCI,in-stock
A0115,G,25.0,7000.0,True,True,True,3 day(s),TCI,in-stock
A0116,G,1.0,3400.0,True,True,True,3 day(s),TCI,in-stock
A0116,G,25.0,37500.0,True,True,True,3 day(s),TCI,in-stock
A0116,G,5.0,11000.0,True,True,False,3 day(s),TCI,in-stock
A0117,G,25.0,3400.0,True,True,True,3 day(s),TCI,in-stock
A0117,G,500.0,33900.0,False,True,False,3 day(s),TCI,in-stock
A0118,G,1.0,2300.0,False,True,False,3 day(s),TCI,in-stock
A0118,G,5.0,7200.0,False,True,False,3 day(s),TCI,in-stock
A0119,G,1.0,3500.0,False,True,False,3 day(s),TCI,in-stock
A0119,G,5.0,11100.0,True,True,False,3 day(s),TCI,in-stock
A0120,G,1.0,2200.0,True,True,False,3 day(s),TCI,in-stock
A0120,G,25.0,15000.0,False,True,False,3 day(s),TCI,in-stock
A0121,G,1.0,1800.0,True,True,False,3 day(s),TCI,in-stock
A0121,G,25.0,14600.0,False,True,False,3 day(s),TCI,in-stock
A0122,G,1.0,4500.0,True,True,False,3 day(s),TCI,in-stock
A0123,ML,500.0,5700.0,False,False,False,3 day(s),TCI,on-demand
A0124,G,25.0,7700.0,True,True,True,3 day(s),TCI,in-stock
A0125,G,25.0,12200.0,True,True,True,3 day(s),TCI,in-stock
A0127,G,25.0,8200.0,True,True,True,3 day(s),TCI,in-stock
A0127,G,500.0,74400.0,False,True,False,3 day(s),TCI,in-stock
A0129,SAMPLE,1.0,19600.0,False,True,False,3 day(s),TCI,in-stock
A0131,G,5.0,12400.0,False,False,False,3 day(s),TCI,on-demand
A0132,G,25.0,7000.0,True,True,False,3 day(s),TCI,in-stock
A0133,G,25.0,17100.0,True,True,False,3 day(s),TCI,in-stock
A0133,G,5.0,5500.0,True,True,True,3 day(s),TCI,in-stock
A0134,G,25.0,8100.0,True,True,False,3 day(s),TCI,in-stock
A0135,SAMPLE,1.0,7500.0,False,True,False,3 day(s),TCI,in-stock
A0136,G,25.0,5400.0,True,True,False,3 day(s),TCI,in-stock
A0139,G,25.0,1800.0,True,True,False,3 day(s),TCI,in-stock
A0139,G,500.0,3100.0,True,True,True,3 day(s),TCI,in-stock
A0140,G,500.0,12700.0,True,True,True,3 day(s),TCI,in-stock
A0141,G,25.0,1800.0,False,True,False,3 day(s),TCI,in-stock
A0141,G,500.0,3200.0,True,True,True,3 day(s),TCI,in-stock
A0142,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0142,ML,500.0,3200.0,True,True,True,3 day(s),TCI,in-stock
A0143,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0143,ML,500.0,3400.0,True,True,True,3 day(s),TCI,in-stock
A0144,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0144,ML,500.0,3100.0,True,True,True,3 day(s),TCI,in-stock
A0145,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0145,ML,500.0,2800.0,True,True,True,3 day(s),TCI,in-stock
A0146,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0146,ML,500.0,2500.0,True,True,True,3 day(s),TCI,in-stock
A0147,G,100.0,9900.0,False,True,False,3 day(s),TCI,in-stock
A0147,G,25.0,3400.0,True,True,False,3 day(s),TCI,in-stock
A0147,G,500.0,31900.0,False,True,False,3 day(s),TCI,in-stock
A0148,MG,100.0,6500.0,True,True,False,3 day(s),TCI,in-stock
A0148,MG,500.0,15900.0,False,True,False,3 day(s),TCI,in-stock
A0149,G,250.0,33800.0,True,True,True,3 day(s),TCI,in-stock
A0149,G,25.0,6600.0,False,True,False,3 day(s),TCI,in-stock
A0150,G,25.0,8100.0,False,True,False,3 day(s),TCI,in-stock
A0150,G,5.0,2700.0,False,True,False,3 day(s),TCI,in-stock
A0151,G,100.0,33900.0,True,True,True,3 day(s),TCI,in-stock
A0151,G,25.0,12500.0,True,True,True,3 day(s),TCI,in-stock
A0152,G,100.0,24000.0,True,True,True,3 day(s),TCI,in-stock
A0152,G,25.0,8900.0,True,True,True,3 day(s),TCI,in-stock
A0152,G,5.0,2900.0,True,True,True,3 day(s),TCI,in-stock
A0157,G,1.0,2300.0,True,True,True,3 day(s),TCI,in-stock
A0157,G,25.0,17500.0,True,True,True,3 day(s),TCI,in-stock
A0157,G,5.0,6000.0,True,True,True,3 day(s),TCI,in-stock
A0158,G,1.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0158,G,25.0,16700.0,True,True,True,3 day(s),TCI,in-stock
A0158,G,5.0,5000.0,True,True,True,3 day(s),TCI,in-stock
A0160,G,25.0,5700.0,True,True,True,3 day(s),TCI,in-stock
A0161,G,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0161,G,500.0,2900.0,True,True,True,3 day(s),TCI,in-stock
A0162,ML,25.0,1800.0,True,True,False,3 day(s),TCI,in-stock
A0162,ML,500.0,4200.0,True,True,True,3 day(s),TCI,in-stock
A0163,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0163,ML,500.0,2400.0,True,True,True,3 day(s),TCI,in-stock
A0164,ML,25.0,3900.0,True,True,True,3 day(s),TCI,in-stock
A0164,ML,500.0,12900.0,True,True,True,3 day(s),TCI,in-stock
A0165,ML,25.0,6800.0,True,True,True,3 day(s),TCI,in-stock
A0165,ML,500.0,54600.0,True,True,True,3 day(s),TCI,in-stock
A0166,ML,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0166,ML,500.0,3800.0,True,True,True,3 day(s),TCI,in-stock
A0168,ML,25.0,2300.0,True,True,True,3 day(s),TCI,in-stock
A0168,ML,500.0,6400.0,True,True,True,3 day(s),TCI,in-stock
A0169,G,100.0,10900.0,True,True,True,3 day(s),TCI,in-stock
A0169,G,25.0,4600.0,True,True,False,3 day(s),TCI,in-stock
A0169,G,500.0,35200.0,True,True,True,3 day(s),TCI,in-stock
A0170,G,250.0,6400.0,True,True,True,3 day(s),TCI,in-stock
A0170,G,25.0,2000.0,True,True,False,3 day(s),TCI,in-stock
A0171,G,1.0,2600.0,True,True,True,3 day(s),TCI,in-stock
A0171,G,25.0,18700.0,True,True,False,3 day(s),TCI,in-stock
A0172,G,1.0,2900.0,True,True,True,3 day(s),TCI,in-stock
A0172,G,25.0,33800.0,True,True,False,3 day(s),TCI,in-stock
A0173,G,1.0,5300.0,True,True,True,3 day(s),TCI,in-stock
A0174,G,25.0,51500.0,False,True,False,3 day(s),TCI,in-stock
A0174,G,5.0,17600.0,True,True,False,3 day(s),TCI,in-stock
A0175,G,1.0,6000.0,True,True,True,3 day(s),TCI,in-stock
A0175,G,25.0,53600.0,True,True,False,3 day(s),TCI,in-stock
A0175,G,5.0,17400.0,True,True,True,3 day(s),TCI,in-stock
A0176,G,25.0,22900.0,True,True,True,3 day(s),TCI,in-stock
A0176,G,5.0,8700.0,True,True,True,3 day(s),TCI,in-stock
A0177,G,25.0,7300.0,True,True,True,3 day(s),TCI,in-stock
A0177,G,5.0,2500.0,True,True,True,3 day(s),TCI,in-stock
A0178,G,25.0,1900.0,True,True,True,3 day(s),TCI,in-stock
A0178,G,500.0,5300.0,True,True,False,3 day(s),TCI,in-stock
A0179,G,250.0,17100.0,True,True,True,3 day(s),TCI,in-stock
A0179,G,25.0,2800.0,True,True,True,3 day(s),TCI,in-stock
A0180,G,25.0,1800.0,True,True,True,3 day(s),TCI,in-stock
A0180,G,500.0,6200.0,True,True,True,3 day(s),TCI,in-stock
A0183,G,1.0,14400.0,True,True,True,3 day(s),TCI,in-stock
A0184,MG,100.0,10400.0,True,True,True,3 day(s),TCI,in-stock
A0185,MG,100.0,5700.0,True,True,True,3 day(s),TCI,in-stock
A0187,MG,100.0,5000.0,True,True,True,3 day(s),TCI,in-stock
A0192,MG,100.0,9100.0,True,True,True,3 day(s),TCI,in-stock
A0193,G,25.0,19500.0,True,True,True,3 day(s),TCI,in-stock
A0193,G,5.0,6100.0,True,True,False,3 day(s),TCI,in-stock
A0194,G,1.0,19200.0,True,True,False,3 day(s),TCI,in-stock
A0197,MG,100.0,6100.0,False,False,False,3 day(s),TCI,on-demand
A0198,G,25.0,2500.0,True,True,True,3 day(s),TCI,in-stock
A0200,MG,10.0,4900.0,True,True,False,3 day(s),TCI,in-stock
A0201,G,25.0,3200.0,False,True,False,3 day(s),TCI,in-stock
A0201,G,500.0,22200.0,False,True,False,3 day(s),TCI,in-stock
A0205,G,25.0,2800.0,True,True,True,3 day(s),TCI,in-stock
A0205,G,500.0,6500.0,True,True,False,3 day(s),TCI,in-stock
A0207,ML,500.0,5700.0,False,False,False,3 day(s),TCI,on-demand
A0208,G,100.0,6000.0,True,True,True,3 day(s),TCI,in-stock
A0208,G,25.0,2500.0,True,True,True,3 day(s),TCI,in-stock
A0208,G,500.0,16300.0,False,True,False,3 day(s),TCI,in-stock
A0211,G,25.0,2800.0,True,True,True,3 day(s),TCI,in-stock
A0211,G,500.0,22100.0,True,True,False,3 day(s),TCI,in-stock
A0212,G,1.0,5100.0,True,True,False,3 day(s),TCI,in-stock
A0212,G,25.0,55700.0,True,True,True,3 day(s),TCI,in-stock
A0212,G,5.0,16500.0,True,True,False,3 day(s),TCI,in-stock
A0213,G,25.0,18700.0,True,True,True,3 day(s),TCI,in-stock
A0214,MG,100.0,3500.0,True,True,False,3 day(s),TCI,in-stock
A0214,G,1.0,22200.0,True,True,False,3 day(s),TCI,in-stock
A0216,G,25.0,12900.0,True,True,False,3 day(s),TCI,in-stock
A0216,G,5.0,3600.0,True,True,False,3 day(s),TCI,in-stock
A0218,ML,25.0,1800.0,False,True,False,3 day(s),TCI,in-stock
A0218,ML,500.0,2900.0,True,True,False,3 day(s),TCI,in-stock
A0219,ML,25.0,2100.0,False,True,False,3 day(s),TCI,in-stock
A0219,ML,500.0,7100.0,True,True,True,3 day(s),TCI,in-stock
A0220,G,100.0,13700.0,False,True,False,3 day(s),TCI,in-stock
A0220,G,25.0,5100.0,True,True,True,3 day(s),TCI,in-stock
A0220,G,500.0,42700.0,True,True,True,3 day(s),TCI,in-stock
A0221,ML,25.0,1800.0,False,True,False,3 day(s),TCI,in-stock
A0221,ML,500.0,3000.0,True,True,True,3 day(s),TCI,in-stock
A0222,G,1.0,3000.0,False,True,False,3 day(s),TCI,in-stock
A0222,G,5.0,8900.0,True,True,False,3 day(s),TCI,in-stock
A0223,G,1.0,14100.0,False,True,False,3 day(s),TCI,in-stock
A0225,G,1.0,3100.0,True,True,False,3 day(s),TCI,in-stock
A0226,G,100.0,10200.0,False,False,False,3 day(s),TCI,on-demand
A0226,G,25.0,3400.0,False,True,False,3 day(s),TCI,in-stock
A0226,G,500.0,38800.0,False,True,False,3 day(s),TCI,in-stock
A0227,ML,25.0,4000.0,True,True,True,3 day(s),TCI,in-stock
A0228,ML,500.0,6300.0,True,True,True,3 day(s),TCI,in-stock
A0229,ML,100.0,16600.0,True,True,False,3 day(s),TCI,in-stock
A0229,ML,25.0,5700.0,False,True,False,3 day(s),TCI,in-stock
A0229,ML,500.0,55200.0,True,True,True,3 day(s),TCI,in-stock
A0231,G,25.0,8800.0,False,True,False,3 day(s),TCI,in-stock
A0231,G,500.0,87600.0,True,True,True,3 day(s),TCI,in-stock
A0232,ML,100.0,4600.0,True,True,False,3 day(s),TCI,in-stock
A0232,ML,25.0,2100.0,True,True,True,3 day(s),TCI,in-stock
A0232,ML,500.0,10700.0,False,True,False,3 day(s),TCI,in-stock
A0233,G,25.0,2600.0,False,False,False,3 day(s),TCI,on-demand
A0233,G,500.0,14100.0,True,True,False,3 day(s),TCI,in-stock
A0234,G,100.0,12500.0,True,True,True,3 day(s),TCI,in-stock
A0234,G,25.0,4600.0,False,True,False,3 day(s),TCI,in-stock
A0234,G,500.0,35700.0,True,True,True,3 day(s),TCI,in-stock
A0235,ML,250.0,24100.0,True,True,True,3 day(s),TCI,in-stock
A0235,ML,25.0,4000.0,True,True,False,3 day(s),TCI,in-stock
A0236,G,100.0,20200.0,True,True,True,3 day(s),TCI,in-stock
A0236,G,25.0,6800.0,True,True,True,3 day(s),TCI,in-stock
A0236,G,5.0,2600.0,True,True,True,3 day(s),TCI,in-stock
A0237,G,25.0,5200.0,True,True,True,3 day(s),TCI,in-stock
A0240,G,25.0,26900.0,True,True,True,3 day(s),TCI,in-stock
A0240,G,5.0,7100.0,True,True,True,3 day(s),TCI,in-stock
A0241,G,100.0,5400.0,True,True,True,3 day(s),TCI,in-stock
A0241,G,25.0,2800.0,True,True,True,3 day(s),TCI,in-stock
A0241,G,500.0,17200.0,True,True,True,3 day(s),TCI,in-stock
A0244,G,25.0,2100.0,True,True,True,3 day(s),TCI,in-stock
A0244,G,500.0,9100.0,True,True,True,3 day(s),TCI,in-stock
A0245,G,250.0,11900.0,True,True,False,3 day(s),TCI,in-stock
A0245,G,25.0,3900.0,True,True,True,3 day(s),TCI,in-stock
A0246,G,100.0,2100.0,True,True,False,3 day(s),TCI,in-stock
A0246,G,500.0,3700.0,True,True,False,3 day(s),TCI,in-stock
A0247,ML,250.0,42600.0,True,True,False,3 day(s),TCI,in-stock
A0247,ML,25.0,6100.0,True,True,False,3 day(s),TCI,in-stock
A0249,G,25.0,3900.0,True,True,False,3 day(s),TCI,in-stock
A0250,G,25.0,7000.0,True,True,True,3 day(s),TCI,in-stock
A0250,G,5.0,2400.0,True,True,True,3 day(s),TCI,in-stock
A0251,G,100.0,13600.0,True,True,False,3 day(s),TCI,in-stock
A0251,G,25.0,4600.0,True,True,True,3 day(s),TCI,in-stock
A0252,G,25.0,11400.0,True,True,True,3 day(s),TCI,in-stock
A0256,G,25.0,3900.0,True,True,True,3 day(s),TCI,in-stock
A0256,G,500.0,41000.0,True,True,True,3 day(s),TCI,in-stock
A0257,G,25.0,10100.0,True,True,True,3 day(s),TCI,in-stock
A0257,G,5.0,3900.0,True,True,True,3 day(s),TCI,in-stock
A0258,G,25.0,82000.0,True,True,True,3 day(s),TCI,in-stock
A0258,G,5.0,22000.0,True,True,True,3 day(s),TCI,in-stock
A0259,G,25.0,12800.0,True,True,True,3 day(s),TCI,in-stock
A0260,G,25.0,6400.0,True,True,True,3 day(s),TCI,in-stock
A0261,G,1.0,12300.0,False,True,False,3 day(s),TCI,in-stock
A0262,G,100.0,4700.0,False,True,False,3 day(s),TCI,in-stock
A0262,G,25.0,3000.0,True,True,True,3 day(s),TCI,in-stock
